Place,Type ,Category,Borough,Address,Latitude,Longitude
Sam Ojeb,Warung,Drink,Lowokwaru,"Pujasera Bhalatri No. 02, Jl. Sunan Kalijaga, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9504489,112.6062056
Ikana,Restaurant,Chinese Food,Klojen,"Jl. Galunggung No.25, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",-7.9705259,112.6132721
Warung Bu Dewi,Restaurant,Prasmanan,Dau,"Jl. Tirto Utomo Gg. II No.4, Dusun Rambaan, Landungsari, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",-7.9243487,112.5966705
Assalamu'alaikum Eatery,Restaurant,Eatery,Lowokwaru,"Jl. Raya Tlogomas No.10, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65151",-7.9338517,112.6041391
Pecel Sleko,Restaurant,Eatery,Lowokwaru,"Jl. Raya Tlogomas No.5B, RT.3/RW7, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9258521,112.6013083
STM Pak Sentot,Warung,Drink,Klojen,"Jalan Bareng Kulon Gang Nomor 6, Bareng, Klojen, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116",-7.976302,112.6172618
Warung Lamongan RRI,Restaurant,Seafood,Lowokwaru,"No.D1 Perumahan Permata Savira, Jl. Candi Panggung Bar., Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",-7.9356207,112.6180714
Sop Ayam Klaten,Restaurant,Eatery,Lowokwaru,"Jl. MT. Haryono No.27, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9449443,112.6112167
Amstirdam Coffee & Roastery,Coffe Shop,Drink,Lowokwaru,"Ruko Soekarno Hatta Indah, No. D18, Jl, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",-7.9401773,112.6321863
Bakso Damas,Restaurant,Eatery,Lowokwaru,"Jl. Soekarno - Hatta No.70, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",-7.938487,112.625172
Museum Kopi,Coffe Shop,Drink,Sukun,"Jalan Bendungan Sigura-gura Barat Ruko Kav. 41 B, Karangbesuki, Sukun, Malang City, East Java 65146",-7.9575049,112.6061702
Apresio Kopi,Coffe Shop,Drink,Lowokwaru,"Ruko Ditas, Jalan Mayjend Jl. MT. Haryono No.Kav. 11, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",-7.945527,112.612347
New Sarijan Coffee,Coffe Shop,Drink,Lowokwaru,"Jl. Simpang Gajayana No.69, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9472546,112.6059582
Cokelat Klasik,Cafe,Drink,Lowokwaru,"Jalan Joyo Agung, Merjosari, Lowokwaru, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9387928,112.588499
Kopi Layak Minum,Coffe Shop,Drink,Lowokwaru,"Depan Pos, Jl. Perum Joyo Grand, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",-7.9434053,112.5944566
Heerlijk Koffie,Coffe Shop,Drink,Lowokwaru,"Pasar Tawangmangu Bedak D7, Lowokwaru, Malang City, East Java 65141",-7.9593208,112.6311285
Roemah Kantja,Coffe Shop,Drink,Sukun,"Jl. Raya Candi II No.316, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",-7.9633365,112.6106886
Kunil Coffee,Coffe Shop,Drink,Lowokwaru,"Jl. Sunan Pandanaran, RT.1/RW.1, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65149",-7.9542419,112.6081854
Nomaden Coffee,Coffe Shop,Drink,Lowokwaru,"Pasar Tawangmangu, Jl. Tawangmangu No.G17, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",-7.9597012,112.6311067
Kopi Melek,Coffe Shop,Drink,Lowokwaru,"Jalan Sunan Kalijaga, Kavling 4C, Dinoyo, Kecamatan Lowokwaru, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65149",-7.950739,112.6064246
Jemblung Kopi,Coffe Shop,Drink,Lowokwaru,"Jalan Mertojoyo, Merjosari, Lowokwaru, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",-7.9413357,112.604038
AKA Coffee,Coffe Shop,Drink,Dau,"Jl. Raya Dermo No.168, Dermo, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",-7.9238448,112.5842824
Titik Nyaman,Coffe Shop,Drink,Dau,"Jl. Sidomakmur No.73 No.76, Jetak Ngasri, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",-7.9177291,112.5822736
Swara,Coffe Shop,Drink,Dau,"Jl. Raya Dermo, Dermo, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",-7.9257306,112.5890604
