Entity,Code,Year,People living in countries with missing regime data,People living in closed autocracies,People living in electoral autocracies,People living in electoral democracies,People living in liberal democracies
World,OWID_WRL,1800,156929163,805811988,22000000,0,0
World,OWID_WRL,1801,155589718,809728760,22309844,0,0
World,OWID_WRL,1802,155873754,812600666,22624318,0,0
World,OWID_WRL,1803,156166627,815500140,22943493,0,0
World,OWID_WRL,1804,155998671,818897125,23267444,0,0
World,OWID_WRL,1805,156309213,821852584,23596247,0,0
World,OWID_WRL,1806,156628604,824836486,23929977,0,0
World,OWID_WRL,1807,156067380,828738650,24268712,0,0
World,OWID_WRL,1808,156406004,831778975,24612534,0,0
World,OWID_WRL,1809,147137709,844464636,24961521,0,0
World,OWID_WRL,1810,146736202,850158239,25735756,0,0
World,OWID_WRL,1811,146260431,854698275,26528763,0,0
World,OWID_WRL,1812,146652579,859487315,27491242,0,0
World,OWID_WRL,1813,146191565,865618085,28634039,0,0
World,OWID_WRL,1814,146620366,870973493,29833433,0,0
World,OWID_WRL,1815,127183637,896309985,31092484,0,0
World,OWID_WRL,1816,127572801,901937287,32414425,0,0
World,OWID_WRL,1817,126317841,909326560,33802669,0,0
World,OWID_WRL,1818,126717838,915179892,35260822,0,0
World,OWID_WRL,1819,127988210,920188566,36581099,0,0
World,OWID_WRL,1820,130034952,925159712,37752758,0,0
World,OWID_WRL,1821,124236539,935074203,40020835,0,0
World,OWID_WRL,1822,124824896,940533946,40894941,0,0
World,OWID_WRL,1823,125238343,932899974,55376475,0,0
World,OWID_WRL,1824,130982297,946247840,43646032,0,0
World,OWID_WRL,1825,130811384,953151985,44379591,0,0
World,OWID_WRL,1826,126897108,963935697,45128383,0,0
World,OWID_WRL,1827,127877108,969914955,45892783,0,0
World,OWID_WRL,1828,128873665,975968585,46673172,0,0
World,OWID_WRL,1829,129888076,981555262,47455046,0,0
World,OWID_WRL,1830,130228306,988855635,47535918,0,0
World,OWID_WRL,1831,123516859,994363726,54386141,0,0
World,OWID_WRL,1832,124497320,994646111,59072867,0,0
World,OWID_WRL,1833,125493716,999876024,58305255,0,0
World,OWID_WRL,1834,126507306,1003476373,59211186,0,0
World,OWID_WRL,1835,127538464,1005872686,61365871,0,0
World,OWID_WRL,1836,128587515,994853239,76981832,0,0
World,OWID_WRL,1837,129654822,996553763,79924136,0,0
World,OWID_WRL,1838,130097543,1002009260,79801814,0,0
World,OWID_WRL,1839,116659938,1019838805,81114056,0,0
World,OWID_WRL,1840,118598152,1043510184,62010356,0,0
World,OWID_WRL,1841,117049120,1050333572,61438797,0,0
World,OWID_WRL,1842,118090957,1046709792,69533004,0,0
World,OWID_WRL,1843,119152228,1050498833,70135176,0,0
World,OWID_WRL,1844,120099223,1054329245,70891449,0,0
World,OWID_WRL,1845,121194646,1058037377,71704405,0,0
World,OWID_WRL,1846,122308752,1069354592,64974119,0,0
World,OWID_WRL,1847,123793997,1065897177,72733546,0,0
World,OWID_WRL,1848,124594496,1027966143,115739366,0,0
World,OWID_WRL,1849,126510134,1031540679,112982153,0,2361968
World,OWID_WRL,1850,128516892,1033822791,113981619,0,2376868
World,OWID_WRL,1851,128524263,1069983782,80145209,0,2390857
World,OWID_WRL,1852,128567202,1071442509,81191228,0,2404184
World,OWID_WRL,1853,129295015,1071540074,82153427,0,2416841
World,OWID_WRL,1854,130132479,1071298253,83457566,0,2429565
World,OWID_WRL,1855,130982557,1071279813,84639361,0,2442355
World,OWID_WRL,1856,131845489,1069653538,87531315,0,2455213
World,OWID_WRL,1857,132721561,1069688320,88865876,0,2468139
World,OWID_WRL,1858,133611051,1079779972,79110316,0,3619471
World,OWID_WRL,1859,134543868,1079771323,80848059,0,3711534
World,OWID_WRL,1860,136676796,1079356041,83326384,0,3796042
World,OWID_WRL,1861,136542335,1084731222,80345262,0,3871952
World,OWID_WRL,1862,137609158,1084807462,82992279,0,3938125
World,OWID_WRL,1863,138722047,1084882410,85958515,0,3993315
World,OWID_WRL,1864,139852107,1087442158,86506509,0,4049793
World,OWID_WRL,1865,138115996,1058796944,121202796,0,4107592
World,OWID_WRL,1866,139255875,1066310890,116940556,0,4166751
World,OWID_WRL,1867,140413897,1067049964,119519433,0,4227308
World,OWID_WRL,1868,157207652,1034629010,139705938,0,4289302
World,OWID_WRL,1869,158554593,1031839693,146295205,0,4350511
World,OWID_WRL,1870,161176781,993919630,188647022,0,4410839
World,OWID_WRL,1871,161156009,1000072516,187487232,0,4470190
World,OWID_WRL,1872,162405596,999843561,193413534,0,4528458
World,OWID_WRL,1873,163619112,1007853458,191720349,0,4585535
World,OWID_WRL,1874,164845520,1026308790,141230756,38412539,4643570
World,OWID_WRL,1875,166084979,1028447303,145511215,38461370,4702578
World,OWID_WRL,1876,166455575,1033046531,148282556,38510260,4762580
World,OWID_WRL,1877,167714005,1040985694,146879893,38559209,4823595
World,OWID_WRL,1878,168986332,1042236264,152222550,38608217,4885643
World,OWID_WRL,1879,171600210,1048806242,151432751,38664188,4953116
World,OWID_WRL,1880,174352529,1049468161,158424465,38727144,5026354
World,OWID_WRL,1881,174224661,1055022044,161104421,38797107,5105711
World,OWID_WRL,1882,175548108,1056763630,168181928,38874098,5191558
World,OWID_WRL,1883,176878932,1066911270,167431938,38958140,5284280
World,OWID_WRL,1884,178223612,1071073910,172787696,39042361,5379915
World,OWID_WRL,1885,184429108,1080906517,167803417,39126760,5478561
World,OWID_WRL,1886,188341947,1079406023,176556259,39211339,5580325
World,OWID_WRL,1887,189767985,1092781575,172462197,39912699,5685314
World,OWID_WRL,1888,191209234,1099775859,175468127,40012950,5793641
World,OWID_WRL,1889,192569309,1107004519,178104698,40105103,5899570
World,OWID_WRL,1890,195415664,1115372588,179481878,40189112,6002745
World,OWID_WRL,1891,195045315,1121834739,182605015,40264930,6102789
World,OWID_WRL,1892,192728990,1127276855,190024789,40332510,6199307
World,OWID_WRL,1893,194939987,1136549509,188853051,40391803,6291885
World,OWID_WRL,1894,195983937,1125555306,209256887,40451408,6385931
World,OWID_WRL,1895,199667326,1131253229,204089780,40511329,12875979
World,OWID_WRL,1896,200776332,1154400623,190471733,40571572,13035423
World,OWID_WRL,1897,201901061,1158824403,195710615,40632141,13197018
World,OWID_WRL,1898,203041777,1145714244,218595820,40693044,13360793
World,OWID_WRL,1899,204321447,1155926469,225338299,40756003,6877634
World,OWID_WRL,1900,115626419,1254900261,222361408,40821076,13695858
World,OWID_WRL,1901,114387846,1261433395,228208911,40888319,13867172
World,OWID_WRL,1902,112830612,1271900943,230208212,40957793,16666822
World,OWID_WRL,1903,113281041,1281568993,234258744,41029557,16874470
World,OWID_WRL,1904,112878460,1292395536,238105137,41183513,17084758
World,OWID_WRL,1905,114885091,1300153365,242879329,41257547,17297719
World,OWID_WRL,1906,115683740,1313951227,240692830,43653601,17513386
World,OWID_WRL,1907,117189358,1324304157,243766978,43744565,17731796
World,OWID_WRL,1908,118747006,1335961473,245702401,43836343,17952984
World,OWID_WRL,1909,120045973,1343664216,251326994,43871463,18159102
World,OWID_WRL,1910,122728128,1347237559,261157693,43850166,18350046
World,OWID_WRL,1911,124208041,1346244161,272170075,43772694,18525713
World,OWID_WRL,1912,125380659,1352165174,278119831,43639283,18686005
World,OWID_WRL,1913,125671803,1359757776,282750619,42353992,19926997
World,OWID_WRL,1914,102637639,1398595162,287167358,42147875,12583555
World,OWID_WRL,1915,98302203,1407637648,295318753,41943364,12747059
World,OWID_WRL,1916,94673461,1427773297,291751005,46609583,8044158
World,OWID_WRL,1917,94763464,1327200988,405267293,46506827,8114604
World,OWID_WRL,1918,75255245,973307573,773810465,52801721,19862038
World,OWID_WRL,1919,70479160,910672374,752687855,108064633,67140287
World,OWID_WRL,1920,69196665,886978986,747326125,155128770,67586879
World,OWID_WRL,1921,67385516,1362191936,149704687,284824366,75481321
World,OWID_WRL,1922,63764879,1363802294,153464804,293246130,81693524
World,OWID_WRL,1923,64184242,1391758741,136822505,298343365,81948321
World,OWID_WRL,1924,64610307,1439651996,102291898,301654226,82207958
World,OWID_WRL,1925,65043181,1452368103,103136236,301504511,86000057
World,OWID_WRL,1926,65482944,1483923399,111207880,279199459,86131699
World,OWID_WRL,1927,65929696,1510575488,101330746,279987348,86273792
World,OWID_WRL,1928,66383544,1525022069,101540888,283171279,86426192
World,OWID_WRL,1929,66882189,1540969341,101095257,286085961,86650720
World,OWID_WRL,1930,69936366,1602231838,67963277,276989939,86945958
World,OWID_WRL,1931,68015288,1585328770,102422639,279099364,87310525
World,OWID_WRL,1932,81268750,1576150428,93519367,304835914,87743066
World,OWID_WRL,1933,82126036,1591662616,173093566,230415954,88242256
World,OWID_WRL,1934,81893498,1689168327,99334637,228695473,88744858
World,OWID_WRL,1935,73046863,1702679315,115443665,229992232,89250897
World,OWID_WRL,1936,73774967,1716805749,121733914,231292368,89760403
World,OWID_WRL,1937,74512354,1735765078,148565644,207555391,90273399
World,OWID_WRL,1938,75259132,1748882162,156803813,208607879,90789921
World,OWID_WRL,1939,111855661,1793328173,108835231,197748419,91328954
World,OWID_WRL,1940,113403577,1869590862,113891423,159585076,70886801
World,OWID_WRL,1941,107806189,1888155526,116129338,161402340,71295141
World,OWID_WRL,1942,109445639,1903785513,115483903,163450942,71721114
